scene,kind,index,file,width,height,ratio,fill_ratio,edge_touch_ratio,edge_touch_pixels,bbox_ratio,bbox_fill_ratio,bbox_x0,bbox_y0,bbox_x1,bbox_y1,anchor_x,anchor_y,seam_lr,seam_tb,seam_alpha,status
red_village,ground,,godot\assets\fairytales\red_village\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,21.608072,22.416016,0.000000,need_attention
red_village,cliff,,godot\assets\fairytales\red_village\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,48.412109,50.231770,0.000000,need_attention
red_village,structure,,godot\assets\fairytales\red_village\structure.png,916,968,0.946281,0.646684,0.000000,0,0.945378,0.669243,8,8,908,960,0.500000,0.991736,,,,need_attention
red_village,prop,0,godot\assets\fairytales\red_village\prop-0.png,500,491,1.018330,0.592839,0.000000,0,1.018947,0.633067,8,8,492,483,0.500000,0.983707,,,,need_attention
red_village,prop,1,godot\assets\fairytales\red_village\prop-1.png,272,548,0.496350,0.617070,0.000000,0,0.481203,0.675355,8,8,264,540,0.500000,0.985401,,,,need_attention
red_village,prop,2,godot\assets\fairytales\red_village\prop-2.png,532,439,1.211845,0.780615,0.000000,0,1.219858,0.835262,8,8,524,431,0.500000,0.981777,,,,need_attention
red_village,prop,3,godot\assets\fairytales\red_village\prop-3.png,528,427,1.236534,0.737443,0.000000,0,1.245742,0.790094,8,8,520,419,0.500000,0.981265,,,,need_attention
red_village,enemy,0,godot\assets\fairytales\red_village\enemy-0.png,341,633,0.538705,0.501235,0.000000,0,0.526742,0.539549,8,8,333,625,0.500000,0.987362,,,,need_attention
red_village,enemy,1,godot\assets\fairytales\red_village\enemy-1.png,462,628,0.735669,0.433559,0.000000,0,0.728758,0.460854,8,8,454,620,0.500000,0.987261,,,,need_attention
red_village,enemy,2,godot\assets\fairytales\red_village\enemy-2.png,469,613,0.765090,0.377952,0.000000,0,0.758794,0.401788,8,8,461,605,0.500000,0.986949,,,,need_attention
red_cottage,ground,,godot\assets\fairytales\red_cottage\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,3.998698,28.587240,0.000000,need_attention
red_cottage,cliff,,godot\assets\fairytales\red_cottage\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,1.319661,35.869793,0.000000,need_attention
red_cottage,structure,,godot\assets\fairytales\red_cottage\structure.png,916,665,1.377444,0.796393,0.000000,0,1.386749,0.830534,8,8,908,657,0.500000,0.987970,,,,need_attention
red_cottage,prop,0,godot\assets\fairytales\red_cottage\prop-0.png,468,569,0.822496,0.444309,0.000000,0,0.817360,0.473347,8,8,460,561,0.500000,0.985940,,,,need_attention
red_cottage,prop,1,godot\assets\fairytales\red_cottage\prop-1.png,461,490,0.940816,0.600744,0.000000,0,0.938819,0.643351,8,8,453,482,0.500000,0.983673,,,,need_attention
red_cottage,prop,2,godot\assets\fairytales\red_cottage\prop-2.png,473,500,0.946000,0.567298,0.000000,0,0.944215,0.606570,8,8,465,492,0.500000,0.984000,,,,need_attention
red_cottage,prop,3,godot\assets\fairytales\red_cottage\prop-3.png,400,511,0.782779,0.409770,0.000000,0,0.775758,0.440641,8,8,392,503,0.500000,0.984344,,,,need_attention
red_cottage,enemy,0,godot\assets\fairytales\red_cottage\enemy-0.png,451,599,0.752922,0.463326,0.000000,0,0.746141,0.493551,8,8,443,591,0.500000,0.986644,,,,need_attention
red_cottage,enemy,1,godot\assets\fairytales\red_cottage\enemy-1.png,376,601,0.625624,0.369442,0.000000,0,0.615385,0.396415,8,8,368,593,0.500000,0.986689,,,,need_attention
red_cottage,enemy,2,godot\assets\fairytales\red_cottage\enemy-2.png,522,398,1.311558,0.436199,0.000000,0,1.324607,0.468840,8,8,514,390,0.500000,0.979899,,,,need_attention
red_workshop,ground,,godot\assets\fairytales\red_workshop\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,14.733073,15.234375,0.000000,need_attention
red_workshop,cliff,,godot\assets\fairytales\red_workshop\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,26.802084,18.579428,0.000000,need_attention
red_workshop,structure,,godot\assets\fairytales\red_workshop\structure.png,916,776,1.180412,0.644971,0.000000,0,1.184211,0.670257,8,8,908,768,0.500000,0.989691,,,,need_attention
red_workshop,prop,0,godot\assets\fairytales\red_workshop\prop-0.png,538,387,1.390181,0.529432,0.000000,0,1.407008,0.569193,8,8,530,379,0.500000,0.979328,,,,need_attention
red_workshop,prop,1,godot\assets\fairytales\red_workshop\prop-1.png,548,440,1.245455,0.657507,0.000000,0,1.254717,0.702839,8,8,540,432,0.500000,0.981818,,,,need_attention
red_workshop,prop,2,godot\assets\fairytales\red_workshop\prop-2.png,485,560,0.866071,0.628306,0.000000,0,0.862132,0.668851,8,8,477,552,0.500000,0.985714,,,,need_attention
red_workshop,prop,3,godot\assets\fairytales\red_workshop\prop-3.png,358,573,0.624782,0.587182,0.000000,0,0.614004,0.632309,8,8,350,565,0.500000,0.986038,,,,need_attention
red_workshop,enemy,0,godot\assets\fairytales\red_workshop\enemy-0.png,333,595,0.559664,0.502062,0.000000,0,0.547496,0.541977,8,8,325,587,0.500000,0.986555,,,,need_attention
red_workshop,enemy,1,godot\assets\fairytales\red_workshop\enemy-1.png,466,523,0.891013,0.435298,0.000000,0,0.887574,0.465001,8,8,458,515,0.500000,0.984704,,,,need_attention
red_workshop,enemy,2,godot\assets\fairytales\red_workshop\enemy-2.png,532,458,1.161572,0.350568,0.000000,0,1.167421,0.374522,8,8,524,450,0.500000,0.982533,,,,need_attention
snow_mirror,ground,,godot\assets\fairytales\snow_mirror\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,34.916668,53.319012,0.000000,need_attention
snow_mirror,cliff,,godot\assets\fairytales\snow_mirror\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,37.837891,30.648438,0.000000,need_attention
snow_mirror,structure,,godot\assets\fairytales\snow_mirror\structure.png,608,1016,0.598425,0.840074,0.000000,0,0.592000,0.876583,8,8,600,1008,0.500000,0.992126,,,,need_attention
snow_mirror,prop,0,godot\assets\fairytales\snow_mirror\prop-0.png,432,535,0.807477,0.488551,0.000000,0,0.801541,0.522982,8,8,424,527,0.500000,0.985047,,,,need_attention
snow_mirror,prop,1,godot\assets\fairytales\snow_mirror\prop-1.png,302,497,0.607646,0.406159,0.000000,0,0.594595,0.443147,8,8,294,489,0.500000,0.983903,,,,need_attention
snow_mirror,prop,2,godot\assets\fairytales\snow_mirror\prop-2.png,475,584,0.813356,0.535703,0.000000,0,0.808099,0.569993,8,8,467,576,0.500000,0.986301,,,,need_attention
snow_mirror,prop,3,godot\assets\fairytales\snow_mirror\prop-3.png,475,517,0.918762,0.586363,0.000000,0,0.916168,0.626181,8,8,467,509,0.500000,0.984526,,,,need_attention
snow_mirror,enemy,0,godot\assets\fairytales\snow_mirror\enemy-0.png,353,613,0.575856,0.458401,0.000000,0,0.564489,0.493034,8,8,345,605,0.500000,0.986949,,,,need_attention
snow_mirror,enemy,1,godot\assets\fairytales\snow_mirror\enemy-1.png,336,592,0.567568,0.461395,0.000000,0,0.555556,0.497922,8,8,328,584,0.500000,0.986486,,,,need_attention
snow_mirror,enemy,2,godot\assets\fairytales\snow_mirror\enemy-2.png,418,519,0.805395,0.423980,0.000000,0,0.799205,0.454878,8,8,410,511,0.500000,0.984586,,,,need_attention
snow_orchard,ground,,godot\assets\fairytales\snow_orchard\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,4.450521,24.639322,0.000000,need_attention
snow_orchard,cliff,,godot\assets\fairytales\snow_orchard\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,1.692057,22.229166,0.000000,need_attention
snow_orchard,structure,,godot\assets\fairytales\snow_orchard\structure.png,916,810,1.130864,0.295192,0.000000,0,1.133501,0.306495,8,8,908,802,0.500000,0.990123,,,,need_attention
snow_orchard,prop,0,godot\assets\fairytales\snow_orchard\prop-0.png,533,563,0.946714,0.600782,0.000000,0,0.945155,0.637492,8,8,525,555,0.500000,0.985790,,,,need_attention
snow_orchard,prop,1,godot\assets\fairytales\snow_orchard\prop-1.png,547,483,1.132505,0.563295,0.000000,0,1.137045,0.600148,8,8,539,475,0.500000,0.983437,,,,need_attention
snow_orchard,prop,2,godot\assets\fairytales\snow_orchard\prop-2.png,538,584,0.921233,0.317647,0.000000,0,0.919014,0.336605,8,8,530,576,0.500000,0.986301,,,,need_attention
snow_orchard,prop,3,godot\assets\fairytales\snow_orchard\prop-3.png,407,533,0.763602,0.672873,0.000000,0,0.756286,0.722083,8,8,399,525,0.500000,0.984991,,,,need_attention
snow_orchard,enemy,0,godot\assets\fairytales\snow_orchard\enemy-0.png,284,627,0.452951,0.486067,0.000000,0,0.438625,0.528574,8,8,276,619,0.500000,0.987241,,,,need_attention
snow_orchard,enemy,1,godot\assets\fairytales\snow_orchard\enemy-1.png,529,552,0.958333,0.411211,0.000000,0,0.957090,0.436694,8,8,521,544,0.500000,0.985507,,,,need_attention
snow_orchard,enemy,2,godot\assets\fairytales\snow_orchard\enemy-2.png,432,615,0.702439,0.302002,0.000000,0,0.694491,0.321995,8,8,424,607,0.500000,0.986992,,,,need_attention
snow_house,ground,,godot\assets\fairytales\snow_house\ground.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,21.149088,16.813150,0.000000,need_attention
snow_house,cliff,,godot\assets\fairytales\snow_house\cliff.png,512,512,1.000000,1.000000,0.007797,2044,1.000000,1.000000,0,0,512,512,,,33.744793,33.313152,0.000000,need_attention
snow_house,structure,,godot\assets\fairytales\snow_house\structure.png,916,510,1.796078,0.770847,0.000000,0,1.821862,0.809962,8,8,908,502,0.500000,0.984314,,,,need_attention
snow_house,prop,0,godot\assets\fairytales\snow_house\prop-0.png,587,443,1.325056,0.641449,0.000000,0,1.337237,0.684132,8,8,579,435,0.500000,0.981941,,,,need_attention
snow_house,prop,1,godot\assets\fairytales\snow_house\prop-1.png,384,549,0.699454,0.804488,0.000000,0,0.690432,0.864666,8,8,376,541,0.500000,0.985428,,,,need_attention
snow_house,prop,2,godot\assets\fairytales\snow_house\prop-2.png,546,573,0.952880,0.640949,0.000000,0,0.951526,0.679266,8,8,538,565,0.500000,0.986038,,,,need_attention
